"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2023","105.990","105.530","106.395","104.820","0.58K","0.36%"
"10/15/2023","105.608","106.000","106.035","105.405","0.23K","-0.40%"
"10/08/2023","106.029","105.690","106.140","104.950","0.24K","0.61%"
"10/01/2023","105.384","105.525","106.570","105.300","0.58K","-0.05%"
"09/24/2023","105.435","104.910","106.135","104.910","0.31K","0.54%"
"09/17/2023","104.870","104.980","105.020","104.000","9.05K","-0.11%"
"09/10/2023","104.987","104.490","105.095","104.030","74.08K","0.26%"
"09/03/2023","104.711","103.850","104.780","103.600","18.26K","0.85%"
"08/27/2023","103.826","103.820","103.930","102.550","2.43K","0.17%"
"08/20/2023","103.653","103.020","104.040","102.600","1.63K","0.68%"
"08/13/2023","102.956","102.400","103.240","102.340","1.42K","0.60%"
"08/06/2023","102.339","101.670","102.395","101.275","0.44K","0.85%"
"07/30/2023","101.476","101.300","102.260","101.225","0.34K","0.41%"
"07/23/2023","101.059","100.695","101.390","99.970","0.09K","0.57%"
"07/16/2023","100.483","99.305","100.560","98.990","0.06K","1.18%"
"07/09/2023","99.315","101.700","101.820","98.935","0.19K","-2.27%"
"07/02/2023","101.625","102.470","102.510","101.600","0.01K","-0.62%"
"06/25/2023","102.262","102.060","102.780","102.000","0.03K","0.04%"
"06/18/2023","102.217","101.700","102.385","101.350","0.02K","0.37%"
"06/11/2023","101.838","103.150","103.340","101.585","87.32K","-1.27%"
"06/04/2023","103.148","103.615","103.945","102.875","13.40K","-0.38%"
"05/28/2023","103.537","103.815","104.205","102.940","3.29K","-0.17%"
"05/21/2023","103.718","102.665","103.950","102.475","1.27K","0.98%"
"05/14/2023","102.714","102.200","103.120","101.735","0.84K","0.54%"
"05/07/2023","102.159","100.675","102.185","100.485","0.62K","1.48%"
"04/30/2023","100.674","100.985","101.780","100.340","1.65K","-0.38%"
"04/23/2023","101.056","101.170","101.520","100.450","0.69K","-0.20%"
"04/16/2023","101.256","101.050","101.610","100.980","0.39K","0.28%"
"04/09/2023","100.970","101.490","102.200","100.215","0.42K","-0.31%"
"04/02/2023","101.289","102.330","102.460","100.950","0.11K","-0.64%"
"03/26/2023","101.946","102.420","102.420","101.560","0.09K","-0.59%"
"03/19/2023","102.549","103.295","103.390","101.340","0.08K","-0.52%"
"03/12/2023","103.080","103.745","104.250","102.770","33.17K","-1.03%"
"03/05/2023","104.152","104.200","105.490","103.585","92.81K","0.01%"
"02/26/2023","104.138","104.795","104.940","103.710","3.97K","-0.63%"
"02/19/2023","104.800","103.595","104.890","103.380","1.52K","1.32%"
"02/12/2023","103.430","103.230","104.265","102.090","1.54K","0.23%"
"02/05/2023","103.195","102.620","103.500","102.200","1.01K","0.77%"
"01/29/2023","102.405","101.365","102.455","100.345","1.48K","1.00%"
"01/22/2023","101.391","101.340","101.830","100.955","0.31K","-0.05%"
"01/15/2023","101.446","101.580","102.245","100.935","0.50K","-0.16%"
"01/08/2023","101.606","103.345","103.345","101.400","0.55K","-1.66%"
"01/01/2023","103.321","103.080","105.025","102.900","0.42K","0.41%"
"12/25/2022","102.894","103.310","103.865","102.800","0.07K","-0.72%"
"12/18/2022","103.645","104.405","104.560","103.115","18.28K","-0.66%"
"12/11/2022","104.333","104.590","104.895","102.875","127.37K","-0.14%"
"12/04/2022","104.479","104.100","105.445","103.725","7.86K","0.30%"
"11/27/2022","104.165","105.855","106.775","103.600","4.46K","-1.32%"
"11/20/2022","105.562","106.400","107.500","105.160","2.16K","-0.82%"
"11/13/2022","106.436","106.230","106.725","104.800","1.83K","0.66%"
"11/06/2022","105.739","110.645","110.760","105.715","1.46K","-4.20%"
"10/30/2022","110.369","110.230","112.500","109.865","1.06K","0.15%"
"10/23/2022","110.201","111.115","112.010","109.000","1.30K","-1.21%"
"10/16/2022","111.555","112.600","113.450","111.260","1.13K","-1.10%"
"10/09/2022","112.792","112.495","113.385","111.665","0.93K","0.38%"
"10/02/2022","112.363","111.770","112.450","109.615","0.91K","0.54%"
"09/25/2022","111.764","112.575","114.445","111.275","1.31K","-0.69%"
"09/18/2022","112.542","109.415","112.490","108.715","23.53K","2.77%"
"09/11/2022","109.506","108.365","109.995","107.450","143.18K","0.71%"
"09/04/2022","108.732","109.550","110.480","108.100","10.57K","-0.48%"
"08/28/2022","109.255","108.695","109.700","108.000","3.07K","0.74%"
"08/21/2022","108.451","107.740","108.900","107.265","1.93K","0.60%"
"08/14/2022","107.803","105.080","107.840","105.080","0.85K","2.53%"
"08/07/2022","105.145","106.190","106.340","104.150","0.60K","-0.93%"
"07/31/2022","106.130","105.400","106.460","104.660","0.53K","0.62%"
"07/24/2022","105.474","106.180","106.920","105.100","0.53K","-0.79%"
"07/17/2022","106.316","107.300","107.400","105.725","0.43K","-1.18%"
"07/10/2022","107.586","106.435","108.785","106.435","0.40K","1.08%"
"07/03/2022","106.441","104.495","107.220","104.245","0.45K","1.81%"
"06/26/2022","104.549","103.450","105.020","103.080","0.14K","0.92%"
"06/19/2022","103.599","104.200","104.275","103.375","0.15K","-0.55%"
"06/12/2022","104.173","104.100","105.150","102.950","54.08K","0.15%"
"06/05/2022","104.013","102.000","104.100","101.680","134.34K","2.02%"
"05/29/2022","101.951","101.510","102.535","101.075","5.03K","0.44%"
"05/22/2022","101.503","102.860","102.860","101.255","2.90K","-1.46%"
"05/15/2022","103.008","104.395","104.415","102.545","1.11K","-1.33%"
"05/08/2022","104.396","103.635","104.800","103.285","0.25K","0.88%"
"05/01/2022","103.489","102.925","103.840","102.215","0.41K","0.76%"
"04/24/2022","102.708","100.935","103.640","100.890","0.34K","1.75%"
"04/17/2022","100.938","100.355","101.010","99.590","0.25K","0.88%"
"04/10/2022","100.061","99.570","100.430","99.320","0.09K","0.57%"
"04/03/2022","99.490","98.230","99.930","98.230","0.12K","1.13%"
"03/27/2022","98.377","98.870","99.000","97.500","0.10K","-0.21%"
"03/20/2022","98.582","98.155","98.705","98.000","0.03K","0.57%"
"03/13/2022","98.027","99.075","99.300","97.535","15.88K","-1.17%"
"03/06/2022","99.183","98.605","99.470","97.785","113.59K","0.52%"
"02/27/2022","98.671","97.300","98.910","96.540","6.02K","2.20%"
"02/20/2022","96.544","96.090","97.650","95.595","3.60K","0.62%"
"02/13/2022","95.952","95.940","96.350","95.600","2.29K","-0.05%"
"02/06/2022","95.998","95.355","96.045","95.085","1.59K","0.62%"
"01/30/2022","95.410","97.120","97.165","95.100","1.93K","-1.82%"
"01/23/2022","97.176","95.620","97.300","95.615","0.93K","1.68%"
"01/16/2022","95.566","95.130","95.750","94.980","0.57K","0.48%"
"01/09/2022","95.106","95.750","96.130","94.580","0.48K","-0.59%"
"01/02/2022","95.672","95.715","96.375","95.700","0.32K","0.12%"
"12/26/2021","95.553","96.085","96.310","95.565","0.25K","-0.42%"
"12/19/2021","95.955","96.585","96.600","95.935","0.11K","-0.58%"
"12/12/2021","96.513","96.085","96.800","95.840","11.31K","0.46%"
"12/05/2021","96.074","96.150","96.565","95.815","88.50K","0.00%"
"11/28/2021","96.074","96.150","96.565","95.500","5.61K","0.04%"
"11/21/2021","96.034","96.000","96.845","95.945","2.97K","0.08%"
"11/14/2021","95.958","95.060","96.170","94.915","1.09K","0.94%"
"11/07/2021","95.063","94.000","95.200","93.810","1.17K","0.86%"
"10/31/2021","94.252","94.060","94.560","93.755","0.76K","0.20%"
"10/24/2021","94.061","93.610","94.225","93.200","1.18K","0.52%"
"10/17/2021","93.575","93.895","94.125","93.440","0.45K","-0.33%"
"10/10/2021","93.883","94.030","94.500","93.700","0.39K","-0.14%"
"10/03/2021","94.014","93.940","94.400","93.620","0.63K","0.03%"
"09/26/2021","93.987","93.175","94.435","93.135","1.47K","0.76%"
"09/19/2021","93.275","93.270","93.450","92.935","0.23K","0.17%"
"09/12/2021","93.121","92.600","93.140","92.240","20.10K","0.59%"
"09/05/2021","92.574","92.100","92.850","92.100","87.07K","0.60%"
"08/29/2021","92.019","92.710","92.790","91.935","10.26K","-0.73%"
"08/22/2021","92.695","93.450","93.505","92.630","4.09K","-0.85%"
