"Date","Price","Open","High","Low","Vol.","Change %"
"08/11/2024","83.880","83.894","83.989","83.875","","-0.08%"
"08/04/2024","83.945","83.788","84.165","83.753","","0.18%"
"07/28/2024","83.794","83.697","83.795","83.629","","0.11%"
"07/21/2024","83.703","83.711","83.784","83.597","","-0.03%"
"07/14/2024","83.724","83.502","83.725","83.474","","0.25%"
"07/07/2024","83.513","83.490","83.592","83.428","","0.02%"
"06/30/2024","83.500","83.356","83.565","83.344","","0.17%"
"06/23/2024","83.355","83.558","83.610","83.313","","-0.24%"
"06/16/2024","83.558","83.518","83.665","83.303","","0.01%"
"06/09/2024","83.547","83.501","83.622","83.419","","0.03%"
"06/02/2024","83.521","83.119","83.649","82.948","","0.12%"
"05/26/2024","83.424","83.040","83.478","83.018","","0.44%"
"05/19/2024","83.060","83.297","83.360","83.004","","-0.26%"
"05/12/2024","83.280","83.497","83.561","83.257","","-0.31%"
"05/05/2024","83.541","83.362","83.542","83.361","","0.20%"
"04/28/2024","83.376","83.356","83.525","83.298","","-0.03%"
"04/21/2024","83.400","83.417","83.445","83.239","","0.05%"
"04/14/2024","83.358","83.472","83.739","83.344","","-0.22%"
"04/07/2024","83.540","83.316","83.604","83.134","","0.30%"
"03/31/2024","83.293","83.314","83.566","83.228","","-0.07%"
"03/24/2024","83.350","83.455","83.520","83.239","","-0.28%"
"03/17/2024","83.582","82.861","83.717","82.820","","0.84%"
"03/10/2024","82.883","82.749","82.972","82.640","","0.17%"
"03/03/2024","82.739","82.818","82.927","82.641","","-0.12%"
"02/25/2024","82.841","82.845","82.945","82.822","","-0.02%"
"02/18/2024","82.859","82.982","83.042","82.793","","-0.19%"
"02/11/2024","83.013","82.996","83.115","82.942","","0.02%"
"02/04/2024","83.000","82.983","83.084","82.887","","0.00%"
"01/28/2024","82.999","83.144","83.158","82.821","","-0.14%"
"01/21/2024","83.115","83.072","83.174","83.040","","0.03%"
"01/14/2024","83.086","82.830","83.203","82.770","","0.28%"
"01/07/2024","82.857","83.096","83.180","82.754","","-0.30%"
"12/31/2023","83.103","83.235","83.348","83.040","","-0.10%"
"12/24/2023","83.190","83.174","83.350","83.095","","0.03%"
"12/17/2023","83.166","82.990","83.280","82.905","","0.18%"
"12/10/2023","83.020","83.388","83.433","82.909","","-0.49%"
"12/03/2023","83.425","83.212","83.450","83.210","","0.20%"
"11/26/2023","83.260","83.294","83.408","83.228","","-0.10%"
"11/19/2023","83.340","83.235","83.404","83.215","","0.12%"
"11/12/2023","83.244","83.280","83.332","82.894","","-0.08%"
"11/05/2023","83.309","83.091","83.488","83.067","","0.20%"
"10/29/2023","83.140","83.252","83.321","83.119","","-0.15%"
"10/22/2023","83.265","83.131","83.280","82.943","","0.14%"
"10/15/2023","83.150","83.236","83.290","83.002","","-0.13%"
"10/08/2023","83.255","83.160","83.326","83.090","","0.17%"
"10/01/2023","83.118","83.135","83.324","83.104","","0.11%"
"09/24/2023","83.030","83.028","83.297","82.995","","0.07%"
"09/17/2023","82.970","83.078","83.339","82.747","","-0.12%"
"09/10/2023","83.069","82.940","83.185","82.802","","0.08%"
"09/03/2023","83.004","82.643","83.247","82.634","","0.38%"
"08/27/2023","82.689","82.556","82.820","82.522","","0.06%"
"08/20/2023","82.637","83.164","83.198","82.354","","-0.61%"
"08/13/2023","83.140","82.867","83.441","82.867","","0.33%"
"08/06/2023","82.870","82.712","82.957","82.562","","0.24%"
"07/30/2023","82.668","82.198","82.865","82.198","","0.54%"
"07/23/2023","82.225","82.005","82.349","81.662","","0.30%"
"07/16/2023","81.980","82.122","82.205","81.887","","-0.08%"
"07/09/2023","82.049","82.640","82.684","81.915","","-0.68%"
"07/02/2023","82.610","82.031","82.810","81.750","","0.63%"
"06/25/2023","82.091","81.945","82.123","81.915","","0.14%"
"06/18/2023","81.980","81.971","82.168","81.862","","0.09%"
"06/11/2023","81.910","82.433","82.492","81.820","","-0.64%"
"06/04/2023","82.440","82.429","82.680","82.389","","0.05%"
"05/28/2023","82.398","82.561","82.788","82.252","","-0.21%"
"05/21/2023","82.570","82.793","82.890","82.517","","-0.37%"
"05/14/2023","82.878","82.219","82.926","82.153","","0.86%"
"05/07/2023","82.173","81.682","82.225","81.644","","0.58%"
"04/30/2023","81.700","81.790","81.945","81.645","","-0.02%"
"04/23/2023","81.720","82.068","82.107","81.576","","-0.38%"
"04/16/2023","82.030","81.888","82.339","81.839","","0.26%"
"04/09/2023","81.820","81.818","82.145","81.542","","-0.05%"
"04/02/2023","81.860","82.362","82.472","81.760","","-0.37%"
"03/26/2023","82.160","82.345","82.425","82.009","","-0.21%"
"03/19/2023","82.334","82.490","82.719","82.027","","-0.23%"
"03/12/2023","82.520","81.672","82.892","81.672","","0.68%"
"03/05/2023","81.960","81.749","82.295","81.590","","0.34%"
"02/26/2023","81.680","82.857","82.948","81.680","","-1.47%"
"02/19/2023","82.897","82.691","82.998","82.534","","0.18%"
"02/12/2023","82.750","82.552","83.019","82.551","","0.29%"
"02/05/2023","82.510","82.383","82.878","82.310","","0.37%"
"01/29/2023","82.206","81.521","82.310","81.431","","0.85%"
"01/22/2023","81.510","80.903","81.775","80.859","","0.66%"
"01/15/2023","80.979","81.222","81.888","80.956","","-0.37%"
"01/08/2023","81.280","82.206","82.442","81.100","","-1.20%"
"01/01/2023","82.270","82.660","83.011","82.270","","-0.54%"
"12/25/2022","82.717","82.770","82.928","82.512","","-0.08%"
"12/18/2022","82.780","82.750","82.961","82.542","","0.09%"
"12/11/2022","82.706","82.408","82.965","82.352","","0.36%"
"12/04/2022","82.410","81.250","82.765","81.180","","1.23%"
"11/27/2022","81.410","81.790","81.832","80.980","","-0.34%"
"11/20/2022","81.685","81.643","81.922","81.417","","0.08%"
